zipf = 1  ctx = 0.0------------------------------------------------------------------
交易ID,开始时间,完成时间,延迟(微秒),类型
99,2971752529245,2971752717859,188614,普通
100,2971752529548,2971752723622,194073,普通

=== 执行统计 ===
第一笔交易开始时间: 2971749310688 微秒
最后一笔交易完成时间: 2971752723622 微秒
前100笔交易总执行时间(包含跨链延迟): 3412934 微秒
前100笔交易总执行时间(不含跨链延迟): 3412934 微秒
交易ID,开始时间,完成时间,延迟(微秒),类型
1,2971750553256,2971750583662,30405,普通
2,2971750553310,2971750584373,31062,普通
3,2971750553342,2971750585486,32144,普通
4,2971750553285,2971750586534,33248,普通
5,2971750583923,2971750779831,195908,普通
6,2971750584699,2971750780042,195342,普通
7,2971750585797,2971750891299,305501,普通
8,2971750587710,2971750891778,304067,普通
9,2971750780262,2971750896905,116642,普通
10,2971750780611,2971750901879,121268,普通
11,2971750891657,2971751037539,145882,普通
12,2971750892067,2971751037814,145746,普通
13,2971750897081,2971751039061,141980,普通
14,2971750902027,2971751041089,139062,普通
15,2971751037737,2971751180862,143125,普通
16,2971751037960,2971751181620,143659,普通
17,2971751039200,2971751182869,143669,普通
18,2971751046328,2971751183247,136919,普通
19,2971751181037,2971751194224,13187,普通
20,2971751181955,2971751194547,12591,普通
21,2971751183578,2971751362388,178809,普通
22,2971751183580,2971751375471,191891,普通
23,2971751194443,2971751379867,185424,普通
24,2971751194925,2971751380999,186073,普通
25,2971751362633,2971751381990,19356,普通
26,2971751375758,2971751540431,164673,普通
27,2971751380023,2971751550197,170174,普通
28,2971751381323,2971751554256,172932,普通
29,2971751382235,2971751684914,302678,普通
30,2971751540608,2971751685954,145345,普通
31,2971751550365,2971751686457,136091,普通
32,2971751554536,2971751797725,243189,普通
33,2971751685153,2971751798752,113599,普通
34,2971751686569,2971751801762,115193,普通
35,2971751686881,2971751802693,115811,普通
36,2971751797911,2971751811738,13826,普通
37,2971751799194,2971751977172,177977,普通
38,2971751802081,2971751977708,175626,普通
39,2971751802931,2971751977773,174842,普通
40,2971751811887,2971751978047,166160,普通
41,2971751977363,2971752095610,118246,普通
42,2971751978061,2971752096639,118577,普通
43,2971751978542,2971752101217,122674,普通
44,2971751978579,2971752101536,122956,普通
45,2971752095780,2971752109244,13463,普通
46,2971752097243,2971752223971,126728,普通
47,2971752101373,2971752224342,122968,普通
48,2971752101901,2971752225618,123717,普通
49,2971752109760,2971752368904,259144,普通
50,2971752224171,2971752369105,144934,普通
51,2971752224980,2971752369383,144403,普通
52,2971752226007,2971752379513,153505,普通
53,2971752369047,2971752382140,13092,普通
54,2971752369284,2971752516176,146891,普通
55,2971752369653,2971752516655,147001,普通
56,2971752379960,2971752530813,150853,普通
57,2971752382275,2971752532275,150000,普通
58,2971752516353,2971752532315,15961,普通
59,2971752517216,2971752533328,16112,普通
60,2971752530945,2971752717742,186796,普通
61,2971752532495,2971752725855,193360,普通
62,2971752532627,2971752859740,327113,普通
63,2971752538790,2971752860575,321785,普通
64,2971752722890,2971752861017,138127,普通
65,2971752726036,2971752863905,137868,普通
66,2971752860028,2971752881607,21578,普通
67,2971752861439,2971752987274,125834,普通
68,2971752861447,2971752987957,126509,普通
69,2971752864057,2971752992347,128290,普通
70,2971752881779,2971753002248,120469,普通
71,2971752987838,2971753120608,132770,普通
72,2971752988295,2971753126127,137832,普通
73,2971752992505,2971753126760,134255,普通
74,2971753003725,2971753129494,125769,普通
75,2971753120800,2971753131249,10448,普通
76,2971753126287,2971753285714,159426,普通
77,2971753127103,2971753286013,158909,普通
78,2971753131452,2971753286952,155499,普通
79,2971753132723,2971753287330,154607,普通
80,2971753285826,2971753435593,149767,普通
81,2971753286251,2971753436285,150034,普通
82,2971753287223,2971753436488,149265,普通
83,2971753292389,2971753438130,145741,普通
84,2971753435779,2971753609875,174095,普通
85,2971753436581,2971753616213,179632,普通
86,2971753436676,2971753617029,180353,普通
87,2971753438323,2971753617308,178984,普通
88,2971753610052,2971753619003,8950,普通
89,2971753616513,2971753774031,157518,普通
90,2971753617705,2971753792700,174995,普通
91,2971753617730,2971753797914,180184,普通
92,2971753619935,2971753938307,318372,普通
93,2971753774167,2971753938531,164363,普通
94,2971753792838,2971753940104,147265,普通
95,2971753798048,2971753958391,160342,普通
96,2971753938589,2971753959573,20983,普通
97,2971753938877,2971754049890,111013,普通
98,2971753945149,2971754050358,105208,普通
99,2971753958587,2971754070212,111624,普通
100,2971753959752,2971754070780,111027,普通

=== 执行统计 ===
第一笔交易开始时间: 2971750553256 微秒
最后一笔交易完成时间: 2971754070780 微秒
前100笔交易总执行时间(包含跨链延迟): 3517523 微秒
前100笔交易总执行时间(不含跨链延迟): 3517523 微秒
交易ID,开始时间,完成时间,延迟(微秒),类型
1,2971753074360,2971753093890,19530,普通
2,2971753074332,2971753094541,20208,普通
3,2971753074461,2971753095591,21129,普通
4,2971753074322,2971753096193,21870,普通
5,2971753094303,2971753239134,144830,普通
6,2971753094738,2971753239678,144939,普通
7,2971753096025,2971753239788,143762,普通
8,2971753096738,2971753366149,269410,普通
9,2971753239311,2971753377962,138650,普通
10,2971753240081,2971753378799,138717,普通
11,2971753241055,2971753380539,139483,普通
12,2971753367533,2971753382921,15387,普通
13,2971753378438,2971753594786,216347,普通
14,2971753378972,2971753599080,220108,普通
15,2971753381562,2971753600231,218669,普通
16,2971753383819,2971753765390,381570,普通
17,2971753595032,2971753778991,183958,普通
18,2971753599478,2971753779757,180278,普通
19,2971753600464,2971753789865,189401,普通
20,2971753768832,2971753945694,176862,普通
21,2971753779279,2971753946358,167078,普通
22,2971753780312,2971753947036,166724,普通
23,2971753790012,2971754048283,258271,普通
24,2971753945883,2971754049289,103405,普通
25,2971753946545,2971754050231,103686,普通
26,2971753947359,2971754055831,108471,普通
27,2971754048596,2971754063380,14783,普通
28,2971754049736,2971754064581,14845,普通
29,2971754050982,2971754072499,21516,普通
30,2971754055961,2971754236769,180808,普通
31,2971754064912,2971754237508,172596,普通
32,2971754072732,2971754239459,166727,普通
33,2971754219026,2971754240168,21141,普通
34,2971754236966,2971754354827,117861,普通
35,2971754238366,2971754355740,117373,普通
36,2971754239773,2971754356563,116790,普通
37,2971754342562,2971754487511,144949,普通
38,2971754354994,2971754491719,136725,普通
39,2971754355943,2971754634461,278517,普通
40,2971754356729,2971754635514,278784,普通
41,2971754487748,2971754636445,148697,普通
42,2971754491948,2971754637828,145880,普通
43,2971754634638,2971754648423,13784,普通
