zipf = 0.8 ctx = 0.0----------------------------------------------------------


交易ID,开始时间,完成时间,延迟(微秒),类型
1,3044083622822,3044083967939,345116,普通
2,3044083623347,3044083972027,348679,普通
3,3044083624272,3044083972644,348371,普通
4,3044083720182,3044083972646,252464,普通
5,3044083968465,3044084430602,462137,普通
6,3044083972507,3044084432219,459712,普通
7,3044083974452,3044084432224,457771,普通
8,3044083975598,3044084556272,580674,普通
9,3044084431046,3044084906990,475943,普通
10,3044084541842,3044084907407,365565,普通
11,3044084542371,3044084907410,365038,普通
12,3044084634012,3044084908152,274140,普通
13,3044084908058,3044085172140,264081,普通
14,3044085042331,3044085547237,504906,普通
15,3044085042466,3044085547243,504776,普通
16,3044085042509,3044085560273,517763,普通
17,3044085172508,3044085568380,395871,普通
18,3044085548554,3044085967689,419134,普通
19,3044085549004,3044086080043,531039,普通
20,3044085568724,3044086080048,511324,普通
21,3044085701618,3044086085372,383753,普通
22,3044086070818,3044086655965,585147,普通
23,3044086080857,3044086657497,576639,普通
24,3044086173345,3044086659085,485740,普通
25,3044086181108,3044086659428,478319,普通
26,3044086658016,3044087128579,470562,普通
27,3044086659331,3044087129253,469922,普通
28,3044086663793,3044087129256,465463,普通
29,3044086673934,3044087446890,772956,普通
30,3044087130324,3044087611567,481242,普通
31,3044087131526,3044087789602,658075,普通
32,3044087131622,3044087790155,658533,普通
33,3044087447308,3044088130887,683578,普通
34,3044087611933,3044088259767,647833,普通
35,3044087789936,3044088412427,622491,普通
36,3044087801130,3044088414456,613325,普通
37,3044088131221,3044088995689,864467,普通
38,3044088260204,3044088995793,735588,普通
39,3044088412778,3044088995852,583073,普通
40,3044088422248,3044088995865,573616,普通
41,3044088996577,3044089610203,613626,普通
42,3044089002008,3044089610210,608202,普通
43,3044089002099,3044089775453,773353,普通
44,3044089188556,3044089782129,593573,普通
45,3044089610689,3044089970890,360200,普通
46,3044089775781,3044090654825,879043,普通
47,3044089786585,3044090664819,878234,普通
48,3044089788707,3044090667258,878550,普通
49,3044089971233,3044090667262,696028,普通
50,3044090655164,3044091345424,690260,普通
51,3044090668385,3044091349159,680774,普通
52,3044090797193,3044091370438,573245,普通
53,3044090797481,3044091370443,572961,普通
54,3044091352339,3044092040160,687820,普通
55,3044091371139,3044092043609,672470,普通
56,3044091371393,3044092047672,676279,普通
57,3044091575615,3044092049898,474283,普通
58,3044092047498,3044092280797,233299,普通
59,3044092047832,3044092830125,782293,普通
60,3044092056471,3044092830130,773659,普通
61,3044092058091,3044093099825,1041733,普通
62,3044092281155,3044093102772,821616,普通
63,3044092830637,3044093563167,732529,普通
64,3044092857427,3044093805806,948379,普通
65,3044093124070,3044093994583,870512,普通
66,3044093126684,3044094021014,894329,普通
67,3044093563511,3044094688723,1125211,普通
68,3044093806126,3044094705684,899558,普通
69,3044093996733,3044094732173,735440,普通
70,3044094208213,3044094734378,526165,普通
71,3044094732938,3044095420480,687541,普通
72,3044094732982,3044095420718,687735,普通
73,3044094732998,3044095422595,689596,普通
74,3044094736869,3044095424567,687697,普通
75,3044095420972,3044095959567,538594,普通
76,3044095428698,3044096216217,787518,普通
77,3044095429442,3044096216334,786892,普通
78,3044095430537,3044096218696,788159,普通
79,3044095959883,3044096222354,262470,普通
80,3044096216674,3044096664125,447450,普通
81,3044096222717,3044096843276,620559,普通
82,3044096427007,3044097055673,628665,普通
83,3044096427055,3044097290415,863360,普通
84,3044096664558,3044097692659,1028101,普通
85,3044096843631,3044097692664,849033,普通
86,3044097056154,3044098204441,1148286,普通
87,3044097290765,3044098206065,915299,普通
88,3044097693866,3044098223237,529371,普通
89,3044097693859,3044098223241,529382,普通
90,3044098204847,3044098843838,638991,普通
91,3044098223639,3044098843843,620204,普通
92,3044098225772,3044098843947,618174,普通
93,3044098229224,3044099099170,869946,普通
94,3044098844504,3044099291946,447441,普通
95,3044098852385,3044099646121,793736,普通
96,3044098859248,3044099896364,1037116,普通
97,3044099099566,3044099896368,796801,普通
98,3044099292421,3044100305018,1012596,普通
99,3044099646529,3044100308066,661536,普通
100,3044100074599,3044100701143,626543,普通

=== 执行统计 ===
第一笔交易开始时间: 3044083622822 微秒
第100笔交易完成时间: 3044100701143 微秒
前100笔交易总执行时间(包含跨链延迟): 17078320 微秒
前100笔交易总执行时间(不含跨链延迟): 17078320 微秒
交易ID,开始时间,完成时间,延迟(微秒),类型
1,3044084900876,3044085349993,449117,普通
2,3044084907591,3044085356393,448802,普通
3,3044084907812,3044085459682,551870,普通
4,3044084908618,3044085459689,551071,普通
5,3044085350551,3044085725178,374627,普通
6,3044085356790,3044085725183,368393,普通
7,3044085460823,3044085725187,264364,普通
8,3044085577885,3044085981961,404076,普通
9,3044085727728,3044086412757,685029,普通
10,3044085727913,3044086412761,684848,普通
11,3044085732974,3044086412769,679795,普通
12,3044085982389,3044086412782,430393,普通
13,3044086414488,3044086946064,531575,普通
14,3044086414594,3044086946715,532120,普通
15,3044086414483,3044086947250,532766,普通
16,3044086414767,3044086947574,532806,普通
17,3044086946441,3044087446255,499813,普通
18,3044086957452,3044087776650,819197,普通
19,3044087093725,3044087788941,695215,普通
20,3044087094214,3044087796032,701818,普通
21,3044087446604,3044087799354,352749,普通
22,3044087777038,3044087970586,193547,普通
23,3044087964690,3044088489636,524945,普通
24,3044087965152,3044088492470,527317,普通
25,3044087965332,3044088889305,923973,普通
26,3044087970937,3044088893683,922745,普通
27,3044088489997,3044088904664,414667,普通
28,3044088495854,3044089258280,762426,普通
29,3044088909779,3044089713117,803338,普通
30,3044088899986,3044089719182,819195,普通
31,3044088905296,3044089719269,813972,普通
32,3044089258660,3044090205499,946838,普通
33,3044089713474,3044090579779,866305,普通
34,3044089719713,3044090583314,863600,普通
35,3044089733274,3044090743995,1010720,普通
36,3044090205841,3044090754553,548711,普通
37,3044090584587,3044090762186,177598,普通
38,3044090754890,3044091305139,550249,普通
39,3044090756721,3044091305254,548533,普通
40,3044090757866,3044091308067,550200,普通
41,3044091088311,3044091889553,801241,普通
42,3044091561627,3044091889642,328014,普通
43,3044091568923,3044092187881,618957,普通
44,3044091576719,3044092190338,613618,普通
45,3044091906452,3044092369026,462573,普通
46,3044092051965,3044092392850,340884,普通
47,3044092188195,3044092776806,588611,普通
48,3044092201699,3044092840022,638322,普通
49,3044092384492,3044093085953,701460,普通
50,3044092393244,3044093776410,1383166,普通
51,3044092779667,3044093778640,998972,普通
52,3044092840405,3044093781195,940790,普通
53,3044093086444,3044093998404,911959,普通
54,3044093776751,3044094239163,462412,普通
55,3044093807872,3044094725176,917303,普通
56,3044093807476,3044094732031,924554,普通
57,3044093998755,3044094749039,750283,普通
58,3044094422728,3044094749097,326369,普通
59,3044094749349,3044095436956,687606,普通
60,3044094749364,3044095438796,689432,普通
61,3044094914834,3044095438821,523986,普通
62,3044094924265,3044095438851,514586,普通
63,3044095439399,3044096206080,766681,普通
64,3044095440528,3044096210028,769499,普通
65,3044095440487,3044096216100,775612,普通
66,3044095441759,3044096224019,782259,普通
67,3044096206436,3044096924188,717751,普通
68,3044096225814,3044096957265,731451,普通
69,3044096227181,3044096959546,732364,普通
70,3044096399118,3044096972023,572905,普通
71,3044096939165,3044097585368,646202,普通
72,3044096957660,3044097585731,628070,普通
73,3044097114287,3044097974481,860194,普通
74,3044097110817,3044097983571,872754,普通
75,3044097586096,3044097986705,400609,普通
76,3044097586895,3044097986726,399831,普通
77,3044097974908,3044098675720,700812,普通
78,3044097987307,3044098675746,688438,普通
79,3044098169603,3044098675749,506146,普通
80,3044098183763,3044098675753,491989,普通
81,3044098677379,3044099514986,837607,普通
82,3044098677411,3044099520032,842621,普通
83,3044098677447,3044099520038,842591,普通
84,3044098684504,3044099532194,847690,普通
85,3044099515342,3044100076879,561537,普通
