zipf = 0.8 ctx = 0.0-----------------------------------------
交易ID,开始时间,完成时间,延迟(微秒),类型
4,2985127137220,2985127232344,95124,普通
5,2985127110813,2985127237781,126968,普通
6,2985127137175,2985127238020,100845,普通
7,2985127236199,2985127253044,16845,普通
8,2985127236217,2985127257241,21024,普通
9,2985127249674,2985127344468,94793,普通
10,2985127249624,2985127353612,103988,普通
11,2985127253222,2985127353616,100394,普通
12,2985127257380,2985127355022,97642,普通
13,2985127344623,2985127356566,11943,普通
14,2985127353833,2985127469991,116158,普通
15,2985127354166,2985127469995,115828,普通
16,2985127355160,2985127469998,114837,普通
17,2985127357420,2985127473624,116203,普通
18,2985127470141,2985127618195,148053,普通
19,2985127470524,2985127620781,150257,普通
20,2985127470661,2985127624949,154288,普通
21,2985127473754,2985127628032,154278,普通
22,2985127632895,2985127734836,101941,普通
23,2985127625117,2985127736777,111659,普通
24,2985127632114,2985127736780,104666,普通
25,2985127715781,2985127741766,25985,普通
26,2985127735017,2985127742438,7420,普通
27,2985127743492,2985127836589,93096,普通
28,2985127744447,2985127836593,92145,普通
29,2985127830569,2985127843130,12561,普通
30,2985127830633,2985127843134,12501,普通
31,2985127837054,2985127940876,103822,普通
32,2985127837386,2985127949526,112139,普通
33,2985127843378,2985127949531,106153,普通
34,2985127843417,2985127951535,108117,普通
35,2985127941039,2985127953113,12074,普通
36,2985127949788,2985128044691,94903,普通
37,2985127951803,2985128048868,97064,普通
38,2985128029644,2985128048927,19283,普通
39,2985128029848,2985128052016,22167,普通
40,2985128044832,2985128167622,122789,普通
41,2985128049058,2985128187887,138829,普通
42,2985128165188,2985128188633,23445,普通
43,2985128165444,2985128188671,23227,普通
44,2985128180181,2985128188674,8493,普通
45,2985128188051,2985128318097,130046,普通
46,2985128188946,2985128324143,135196,普通
47,2985128304419,2985128324146,19727,普通
48,2985128304570,2985128324211,19641,普通
49,2985128318357,2985128421299,102941,普通
50,2985128409079,2985128422455,13376,普通
51,2985128409265,2985128501441,92176,普通
52,2985128409415,2985128504020,94605,普通
53,2985128421738,2985128512778,91040,普通
54,2985128422608,2985128512783,90174,普通
55,2985128501853,2985128583603,81749,普通
56,2985128504325,2985128583608,79283,普通
57,2985128513085,2985128586669,73584,普通
58,2985128513126,2985128590844,77718,普通
59,2985128584114,2985128658030,73916,普通
60,2985128584373,2985128658033,73660,普通
61,2985128587231,2985128658036,70805,普通
62,2985128591845,2985128662621,70776,普通
63,2985128658244,2985128820299,162054,普通
64,2985128661519,2985128820302,158783,普通
65,2985128662039,2985128828891,166852,普通
66,2985128663031,2985128831270,168239,普通
67,2985128820906,2985128832069,11163,普通
68,2985128820939,2985128832072,11132,普通
69,2985128830041,2985128905653,75611,普通
70,2985128832054,2985128915348,83294,普通
71,2985128832905,2985128915354,82448,普通
72,2985128839567,2985128915357,75790,普通
73,2985128906432,2985128917705,11273,普通
74,2985128915609,2985128989116,73507,普通
75,2985128916131,2985128993639,77507,普通
76,2985128918190,2985128995991,77801,普通
77,2985128980338,2985129060092,79754,普通
78,2985128989682,2985129067672,77989,普通
79,2985128994113,2985129067675,73562,普通
80,2985128996629,2985129153318,156689,普通
81,2985129060771,2985129153324,92552,普通
82,2985129068163,2985129157170,89006,普通
83,2985129068215,2985129157173,88958,普通
84,2985129153794,2985129164337,10542,普通
85,2985129154057,2985129242888,88830,普通
86,2985129157795,2985129242892,85096,普通
87,2985129161010,2985129242896,81886,普通
88,2985129164598,2985129242899,78301,普通
89,2985129243180,2985129252770,9590,普通
90,2985129243283,2985129324797,81514,普通
91,2985129243443,2985129325193,81750,普通
92,2985129252512,2985129325196,72683,普通
93,2985129253665,2985129421378,167712,普通
94,2985129325646,2985129421381,95735,普通
95,2985129325721,2985129421429,95708,普通
96,2985129326181,2985129424416,98235,普通
97,2985129421718,2985129508879,87161,普通
98,2985129421751,2985129508884,87133,普通
99,2985129423212,2985129508888,85675,普通
100,2985129424908,2985129508926,84018,普通

=== 执行统计 ===
第一笔交易开始时间: 2985127100776 微秒
第100笔交易完成时间: 2985129508926 微秒
前100笔交易总执行时间(包含跨链延迟): 2408150 微秒
前100笔交易总执行时间(不含跨链延迟): 2408150 微秒
交易ID,开始时间,完成时间,延迟(微秒),类型
1,2985129632167,2985129640040,7872,普通
2,2985129632191,2985129644044,11853,普通
3,2985129644212,2985129797049,152836,普通
4,2985129653104,2985129807450,154345,普通
5,2985129644525,2985129807632,163107,普通
6,2985129644492,2985129807689,163197,普通
7,2985129797226,2985129807700,10474,普通
8,2985129808019,2985129907331,99312,普通
9,2985129807980,2985129908299,100318,普通
10,2985129807960,2985129908303,100342,普通
11,2985129808333,2985129908306,99972,普通
12,2985129907670,2985129996723,89052,普通
13,2985129908878,2985129996726,87848,普通
14,2985129908955,2985129996730,87775,普通
15,2985129910057,2985130000446,90389,普通
16,2985129996936,2985130090477,93541,普通
17,2985129997170,2985130091171,94000,普通
18,2985129998387,2985130097701,99313,普通
19,2985130000610,2985130097704,97094,普通
20,2985130090963,2985130104276,13313,普通
21,2985130091675,2985130173232,81556,普通
22,2985130098288,2985130182399,84111,普通
23,2985130098338,2985130182403,84065,普通
24,2985130104682,2985130184378,79696,普通
25,2985130175713,2985130263647,87933,普通
26,2985130183575,2985130272956,89380,普通
27,2985130183591,2985130272960,89368,普通
28,2985130185293,2985130273199,87906,普通
29,2985130264032,2985130273203,9171,普通
30,2985130273213,2985130372775,99562,普通
31,2985130273872,2985130383790,109917,普通
32,2985130273498,2985130396044,122545,普通
33,2985130273662,2985130396062,122400,普通
34,2985130372926,2985130400023,27096,普通
35,2985130384039,2985130412013,27973,普通
36,2985130470770,2985130481180,10409,普通
37,2985130470896,2985130593017,122120,普通
38,2985130470995,2985130605060,134065,普通
39,2985130471028,2985130608019,136991,普通
40,2985130481397,2985130612153,130755,普通
41,2985130593295,2985130612205,18910,普通
42,2985130605310,2985130619039,13729,普通
43,2985130608254,2985130761299,153044,普通
44,2985130612981,2985130761303,148322,普通
